"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","37066","TOWN OF RIB FALLS - MARATHON COUNTY","9","0","0",""
"2021 Spring Primary","37068","TOWN OF RIB MOUNTAIN - MARATHON COUNTY","266","264","0","0"
"2021 Spring Primary","37070","TOWN OF RIETBROCK - MARATHON COUNTY","7","0","0",""
"2021 Spring Primary","37072","TOWN OF RINGLE - MARATHON COUNTY","55","55","0","0"
"2021 Spring Primary","37074","TOWN OF SPENCER - MARATHON COUNTY","33","5","0","0"
"2021 Spring Primary","37076","TOWN OF STETTIN - MARATHON COUNTY","101","0","0",""
"2021 Spring Primary","37078","TOWN OF TEXAS - MARATHON COUNTY","62","54","0","0"
"2021 Spring Primary","37080","TOWN OF WAUSAU - MARATHON COUNTY","87","87","0","0"
"2021 Spring Primary","37082","TOWN OF WESTON - MARATHON COUNTY","13","13","0","0"
"2021 Spring Primary","37084","TOWN OF WIEN - MARATHON COUNTY","9","0","0",""
"2021 Spring Primary","37102","VILLAGE OF ATHENS - MARATHON COUNTY","21","21","0","0"
"2021 Spring Primary","37121","VILLAGE OF EDGAR - MARATHON COUNTY","12","12","0","0"
"2021 Spring Primary","37122","VILLAGE OF ELDERON - MARATHON COUNTY","1","0","0",""
"2021 Spring Primary","37126","VILLAGE OF FENWOOD - MARATHON COUNTY","1","0","0",""
"2021 Spring Primary","37136","VILLAGE OF HATLEY - MARATHON COUNTY","12","0","0",""
"2021 Spring Primary","37145","VILLAGE OF KRONENWETTER - MARATHON COUNTY","272","263","0","0"
"2021 Spring Primary","37146","VILLAGE OF MAINE - MARATHON COUNTY","124","0","0",""
"2021 Spring Primary","37151","VILLAGE OF MARATHON CITY - MARATHON COUNTY","39","39","0","0"
"2021 Spring Primary","37176","VILLAGE OF ROTHSCHILD - MARATHON COUNTY","244","241","0","0"
"2021 Spring Primary","37181","VILLAGE OF SPENCER - MARATHON COUNTY","38","0","0",""
"2021 Spring Primary","37182","VILLAGE OF STRATFORD - MARATHON COUNTY","53","50","0","0"
"2021 Spring Primary","37186","VILLAGE OF UNITY - MULTIPLE COUNTIES","6","0","0",""
"2021 Spring Primary","37192","VILLAGE OF WESTON - MARATHON COUNTY","666","659","0","0"
"2021 Spring Primary","37251","CITY OF MOSINEE - MARATHON COUNTY","175","172","0","0"
"2021 Spring Primary","37281","CITY OF SCHOFIELD - MARATHON COUNTY","80","78","0","0"
"2021 Spring Primary","37291","CITY OF WAUSAU - MARATHON COUNTY","2157","2109","0","0"
"2021 Spring Primary","38002","TOWN OF AMBERG - MARINETTE COUNTY","18","18","0","0"
"2021 Spring Primary","38004","TOWN OF ATHELSTANE - MARINETTE COUNTY","22","20","0","0"
"2021 Spring Primary","38006","TOWN OF BEAVER - MARINETTE COUNTY","33","33","0","0"
"2021 Spring Primary","38008","TOWN OF BEECHER - MARINETTE COUNTY","20","19","0","0"
"2021 Spring Primary","38010","TOWN OF DUNBAR - MARINETTE COUNTY","11","0","0",""
"2021 Spring Primary","38012","TOWN OF GOODMAN - MARINETTE COUNTY","23","23","0","0"
"2021 Spring Primary","38014","TOWN OF GROVER - MARINETTE COUNTY","57","57","0","0"
"2021 Spring Primary","38016","TOWN OF LAKE - MARINETTE COUNTY","33","33","0","0"
"2021 Spring Primary","38018","TOWN OF MIDDLE INLET - MARINETTE COUNTY","23","23","0","0"
"2021 Spring Primary","38020","TOWN OF NIAGARA - MARINETTE COUNTY","45","45","0","0"
"2021 Spring Primary","38022","TOWN OF PEMBINE - MARINETTE COUNTY","6","6","0","0"
"2021 Spring Primary","38024","TOWN OF PESHTIGO - MARINETTE COUNTY","169","167","0","0"
"2021 Spring Primary","38026","TOWN OF PORTERFIELD - MARINETTE COUNTY","80","80","0","0"
"2021 Spring Primary","38028","TOWN OF POUND - MARINETTE COUNTY","16","15","0","0"
"2021 Spring Primary","38030","TOWN OF SILVER CLIFF - MARINETTE COUNTY","21","21","0","0"
"2021 Spring Primary","38032","TOWN OF STEPHENSON - MARINETTE COUNTY","156","142","0","0"
"2021 Spring Primary","38034","TOWN OF WAGNER - MARINETTE COUNTY","27","27","0","0"
"2021 Spring Primary","38036","TOWN OF WAUSAUKEE - MARINETTE COUNTY","28","28","0","0"
"2021 Spring Primary","38111","VILLAGE OF COLEMAN - MARINETTE COUNTY","25","25","0","0"
"2021 Spring Primary","38121","VILLAGE OF CRIVITZ - MARINETTE COUNTY","52","0","0",""
"2021 Spring Primary","38171","VILLAGE OF POUND - MARINETTE COUNTY","6","6","0","0"
"2021 Spring Primary","38191","VILLAGE OF WAUSAUKEE - MARINETTE COUNTY","17","17","0","0"
"2021 Spring Primary","38251","CITY OF MARINETTE - MARINETTE COUNTY","672","669","0","0"
"2021 Spring Primary","38261","CITY OF NIAGARA - MARINETTE COUNTY","32","32","0","0"
"2021 Spring Primary","38271","CITY OF PESHTIGO - MARINETTE COUNTY","153","153","0","0"
"2021 Spring Primary","39002","TOWN OF BUFFALO - MARQUETTE COUNTY","30","0","0",""
"2021 Spring Primary","39004","TOWN OF CRYSTAL LAKE - MARQUETTE COUNTY","12","0","0",""
"2021 Spring Primary","39006","TOWN OF DOUGLAS - MARQUETTE COUNTY","16","0","0",""
"2021 Spring Primary","39008","TOWN OF HARRIS - MARQUETTE COUNTY","55","29","0","0"
"2021 Spring Primary","39010","TOWN OF MECAN - MARQUETTE COUNTY","30","22","0","0"
"2021 Spring Primary","39012","TOWN OF MONTELLO - MARQUETTE COUNTY","49","0","0",""
"2021 Spring Primary","39014","TOWN OF MOUNDVILLE - MARQUETTE COUNTY","17","0","0",""
"2021 Spring Primary","39016","TOWN OF NESHKORO - MARQUETTE COUNTY","19","0","0",""
"2021 Spring Primary","39018","TOWN OF NEWTON - MARQUETTE COUNTY","13","0","0",""
"2021 Spring Primary","39020","TOWN OF OXFORD - MARQUETTE COUNTY","39","0","0",""
"2021 Spring Primary","39022","TOWN OF PACKWAUKEE - MARQUETTE COUNTY","43","0","0",""
"2021 Spring Primary","39024","TOWN OF SHIELDS - MARQUETTE COUNTY","8","0","0",""
"2021 Spring Primary","39026","TOWN OF SPRINGFIELD - MARQUETTE COUNTY","19","0","0",""
"2021 Spring Primary","39028","TOWN OF WESTFIELD - MARQUETTE COUNTY","26","0","0",""
"2021 Spring Primary","39121","VILLAGE OF ENDEAVOR - MARQUETTE COUNTY","9","0","0",""
"2021 Spring Primary","39161","VILLAGE OF NESHKORO - MARQUETTE COUNTY","5","0","0",""
"2021 Spring Primary","39165","VILLAGE OF OXFORD - MARQUETTE COUNTY","12","0","0",""
"2021 Spring Primary","39191","VILLAGE OF WESTFIELD - MARQUETTE COUNTY","21","13","0","0"
"2021 Spring Primary","39251","CITY OF MONTELLO - MARQUETTE COUNTY","67","0","0",""
"2021 Spring Primary","40001","TOWN OF MENOMINEE - MENOMINEE COUNTY","11","0","0",""
"2021 Spring Primary","41106","VILLAGE OF BAYSIDE - MULTIPLE COUNTIES","488","488","0","0"
"2021 Spring Primary","41107","VILLAGE OF BROWN DEER - MILWAUKEE COUNTY","825","821","0","0"
"2021 Spring Primary","41126","VILLAGE OF FOX POINT - MILWAUKEE COUNTY","421","413","0","0"
"2021 Spring Primary","41131","VILLAGE OF GREENDALE - MILWAUKEE COUNTY","1120","1101","0","0"
"2021 Spring Primary","41136","VILLAGE OF HALES CORNERS - MILWAUKEE COUNTY","436","433","0","0"
"2021 Spring Primary","41176","VILLAGE OF RIVER HILLS - MILWAUKEE COUNTY","58","57","0","0"
"2021 Spring Primary","41181","VILLAGE OF SHOREWOOD - MILWAUKEE COUNTY","928","880","0","0"
"2021 Spring Primary","41191","VILLAGE OF WEST MILWAUKEE - MILWAUKEE COUNTY","124","124","0","0"
"2021 Spring Primary","41192","VILLAGE OF WHITEFISH BAY - MILWAUKEE COUNTY","1095","1087","0","0"
"2021 Spring Primary","41211","CITY OF CUDAHY - MILWAUKEE COUNTY","1177","1171","0","0"
"2021 Spring Primary","41226","CITY OF FRANKLIN - MILWAUKEE COUNTY","2186","2181","0","0"
"2021 Spring Primary","41231","CITY OF GLENDALE - MILWAUKEE COUNTY","1427","1419","0","0"
"2021 Spring Primary","41236","CITY OF GREENFIELD - MILWAUKEE COUNTY","2352","2343","0","0"
"2021 Spring Primary","41251","CITY OF MILWAUKEE - MULTIPLE COUNTIES","31265","30828","0","0"
"2021 Spring Primary","41265","CITY OF OAK CREEK - MILWAUKEE COUNTY","2171","2146","0","0"
